year,global_avg_temp,global_7-year MA,Shenyang_avg_temp,Shenyang_7-year MA,,,,,,,,,,,
1829,7.94,8.277142857,11.8,,,,,,,,,,,,
1830,8.52,8.391428571,7.12,,,,,,,,,,,,
1831,7.64,8.261428571,6.02,,,,,,,,,,,,
1832,7.45,8.127142857,6,,,,,,,,,,,,
1833,8.01,8.077142857,6.59,,,,,,,,,,,,
1834,8.15,7.982857143,6.94,,,,,,,,,,,,
1835,7.39,7.871428571,6.1,7.224285714,,,,,,,,,,,
1836,7.7,7.837142857,6.51,6.468571429,,,,,,,,,,,
1837,7.38,7.674285714,6.22,6.34,,,,,,,,,,,
1838,7.51,7.655714286,,6.393333333,,,,,,,,,,,
1839,7.63,7.681428571,5.91,6.378333333,,,,,,,,,,,
1840,7.8,7.651428571,6.79,6.411666667,,,,,,,,,,,
1841,7.69,7.585714286,5.77,6.216666667,,,,,,,,,,,
1842,8.02,7.675714286,6.66,6.31,,,,,,,,,,,
1843,8.17,7.742857143,6.94,6.381666667,,,,,,,,,,,
1844,7.65,7.781428571,6.81,6.48,,,,,,,,,,,
1845,7.85,7.83,6.8,6.525714286,,,,,,,,,,,
1846,8.55,7.961428571,7.26,6.718571429,,,,,,,,,,,
1847,8.09,8.002857143,7.11,6.764285714,,,,,,,,,,,
1848,7.98,8.044285714,7.03,6.944285714,,,,,,,,,,,
1849,7.98,8.038571429,7.03,6.997142857,,,,,,,,,,,
1850,7.9,8,5.99,6.861428571,,,,,,,,,,,
1851,8.18,8.075714286,5.62,6.691428571,,,,,,,,,,,
1852,8.1,8.111428571,5.85,6.555714286,,,,,,,,,,,
1853,8.04,8.038571429,6.14,6.395714286,,,,,,,,,,,
1854,8.21,8.055714286,7.06,6.388571429,,,,,,,,,,,
1855,8.11,8.074285714,7.45,6.448571429,,,,,,,,,,,
1856,8,8.077142857,6.84,6.421428571,,,,,,,,,,,
1857,7.76,8.057142857,6.67,6.518571429,,,,,,,,,,,
1858,8.1,8.045714286,7.11,6.731428571,,,,,,,,,,,
1859,8.25,8.067142857,6.93,6.885714286,,,,,,,,,,,
1860,7.96,8.055714286,5.8,6.837142857,,,,,,,,,,,
1861,7.85,8.004285714,6.16,6.708571429,,,,,,,,,,,
1862,7.56,7.925714286,6.29,6.542857143,,,,,,,,,,,
1863,8.11,7.941428571,7.29,6.607142857,,,,,,,,,,,
1864,7.98,7.972857143,6.62,6.6,,,,,,,,,,,
1865,8.18,7.984285714,6.6,6.527142857,,,,,,,,,,,
1866,8.29,7.99,6.81,6.51,,,,,,,,,,,
1867,8.44,8.058571429,7.15,6.702857143,,,,,,,,,,,
1868,8.25,8.115714286,7.06,6.831428571,,,,,,,,,,,
1869,8.43,8.24,7.35,6.982857143,,,,,,,,,,,
1870,8.2,8.252857143,6.65,6.891428571,,,,,,,,,,,
1871,8.12,8.272857143,6.81,6.918571429,,,,,,,,,,,
1872,8.19,8.274285714,6.64,6.924285714,,,,,,,,,,,
1873,8.35,8.282857143,6.53,6.884285714,,,,,,,,,,,
1874,8.43,8.281428571,7.2,6.891428571,,,,,,,,,,,
1875,7.86,8.225714286,7.14,6.902857143,,,,,,,,,,,
1876,8.08,8.175714286,7.4,6.91,,,,,,,,,,,
1877,8.54,8.224285714,6.98,6.957142857,,,,,,,,,,,
1878,8.83,8.325714286,6.87,6.965714286,,,,,,,,,,,
1879,8.17,8.322857143,6.99,7.015714286,,,,,,,,,,,
1880,8.12,8.29,6.82,7.057142857,,,,,,,,,,,
1881,8.27,8.267142857,6.72,6.988571429,,,,,,,,,,,
1882,8.13,8.305714286,7.16,6.991428571,,,,,,,,,,,
1883,7.98,8.291428571,6.78,6.902857143,,,,,,,,,,,
1884,7.77,8.181428571,5.99,6.761428571,,,,,,,,,,,
1885,7.92,8.051428571,6.53,6.712857143,,,,,,,,,,,
1886,7.95,8.02,7.04,6.72,,,,,,,,,,,
1887,7.91,7.99,6.79,6.715714286,,,,,,,,,,,
1888,8.09,7.964285714,6.56,6.692857143,,,,,,,,,,,
1889,8.32,7.991428571,6.39,6.582857143,,,,,,,,,,,
1890,7.97,7.99,7.72,6.717142857,,,,,,,,,,,
1891,8.02,8.025714286,7.02,6.864285714,,,,,,,,,,,
1892,8.07,8.047142857,6.13,6.807142857,,,,,,,,,,,
1893,8.06,8.062857143,6.14,6.678571429,,,,,,,,,,,
1894,8.16,8.098571429,7.76,6.817142857,,,,,,,,,,,
1895,8.15,8.107142857,6.22,6.768571429,,,,,,,,,,,
1896,8.21,8.091428571,6.65,6.805714286,,,,,,,,,,,
1897,8.29,8.137142857,6.95,6.695714286,,,,,,,,,,,
1898,8.18,8.16,7.94,6.827142857,,,,,,,,,,,
1899,8.4,8.207142857,7.94,7.085714286,,,,,,,,,,,
1900,8.5,8.27,7.31,7.252857143,,,,,,,,,,,
1901,8.54,8.324285714,7.04,7.15,,,,,,,,,,,
1902,8.3,8.345714286,7.47,7.328571429,,,,,,,,,,,
1903,8.22,8.347142857,7.52,7.452857143,,,,,,,,,,,
1904,8.09,8.318571429,7,7.46,,,,,,,,,,,
1905,8.23,8.325714286,7.21,7.355714286,,,,,,,,,,,
1906,8.38,8.322857143,6.73,7.182857143,,,,,,,,,,,
1907,7.95,8.244285714,6.99,7.137142857,,,,,,,,,,,
1908,8.19,8.194285714,6.59,7.072857143,,,,,,,,,,,
1909,8.18,8.177142857,6.44,6.925714286,,,,,,,,,,,
1910,8.22,8.177142857,6.31,6.752857143,,,,,,,,,,,
1911,8.18,8.19,6.49,6.68,,,,,,,,,,,
1912,8.17,8.181428571,6.24,6.541428571,,,,,,,,,,,
1913,8.3,8.17,6.38,6.491428571,,,,,,,,,,,
1914,8.59,8.261428571,7.65,6.585714286,,,,,,,,,,,
1915,8.59,8.318571429,6.24,6.535714286,,,,,,,,,,,
1916,8.23,8.325714286,6.72,6.575714286,,,,,,,,,,,
1917,8.02,8.297142857,6.17,6.555714286,,,,,,,,,,,
1918,8.13,8.29,6.85,6.607142857,,,,,,,,,,,
1919,8.38,8.32,7.21,6.745714286,,,,,,,,,,,
1920,8.36,8.328571429,7.62,6.922857143,,,,,,,,,,,
1921,8.57,8.325714286,7.05,6.837142857,,,,,,,,,,,
1922,8.41,8.3,6.9,6.931428571,,,,,,,,,,,
1923,8.42,8.327142857,6.69,6.927142857,,,,,,,,,,,
1924,8.51,8.397142857,6.95,7.038571429,,,,,,,,,,,
1925,8.53,8.454285714,7.15,7.081428571,,,,,,,,,,,
1926,8.73,8.504285714,7.18,7.077142857,,,,,,,,,,,
1927,8.52,8.527142857,7.12,7.005714286,,,,,,,,,,,
1928,8.63,8.535714286,7.03,7.002857143,,,,,,,,,,,
1929,8.24,8.511428571,7.1,7.031428571,,,,,,,,,,,
1930,8.63,8.541428571,7.49,7.145714286,,,,,,,,,,,
1931,8.72,8.571428571,6.73,7.114285714,,,,,,,,,,,
1932,8.71,8.597142857,7.57,7.174285714,,,,,,,,,,,
1933,8.34,8.541428571,6.75,7.112857143,,,,,,,,,,,
1934,8.63,8.557142857,6.8,7.067142857,,,,,,,,,,,
1935,8.52,8.541428571,7.8,7.177142857,,,,,,,,,,,
1936,8.55,8.585714286,6.42,7.08,,,,,,,,,,,
1937,8.7,8.595714286,7.38,7.064285714,,,,,,,,,,,
1938,8.86,8.615714286,7.59,7.187142857,,,,,,,,,,,
1939,8.76,8.622857143,8.04,7.254285714,,,,,,,,,,,
1940,8.76,8.682857143,7.49,7.36,,,,,,,,,,,
1941,8.77,8.702857143,7.42,7.448571429,,,,,,,,,,,
1942,8.73,8.732857143,7.34,7.382857143,,,,,,,,,,,
1943,8.76,8.762857143,8.11,7.624285714,,,,,,,,,,,
1944,8.85,8.784285714,7.28,7.61,,,,,,,,,,,
1945,8.58,8.744285714,6.77,7.492857143,,,,,,,,,,,
1946,8.68,8.732857143,7.72,7.447142857,,,,,,,,,,,
1947,8.8,8.738571429,5.45,7.155714286,,,,,,,,,,,
1948,8.75,8.735714286,7.84,7.215714286,,,,,,,,,,,
1949,8.59,8.715714286,7.62,7.255714286,,,,,,,,,,,
1950,8.37,8.66,7.56,7.177142857,,,,,,,,,,,
1951,8.63,8.628571429,7.47,7.204285714,,,,,,,,,,,
1952,8.64,8.637142857,7.07,7.247142857,,,,,,,,,,,
1953,8.87,8.664285714,7.08,7.155714286,,,,,,,,,,,
1954,8.56,8.63,7.1,7.391428571,,,,,,,,,,,
1955,8.63,8.612857143,7.83,7.39,,,,,,,,,,,
1956,8.28,8.568571429,6.18,7.184285714,,,,,,,,,,,
1957,8.73,8.62,6.58,7.044285714,,,,,,,,,,,
1958,8.77,8.64,7.7,7.077142857,,,,,,,,,,,
1959,8.73,8.652857143,8.2,7.238571429,,,,,,,,,,,
1960,8.58,8.611428571,7.72,7.33,,,,,,,,,,,
1961,8.8,8.645714286,8.24,7.492857143,,,,,,,,,,,
1962,8.75,8.662857143,7.57,7.455714286,,,,,,,,,,,
1963,8.86,8.745714286,7.48,7.641428571,,,,,,,,,,,
1964,8.41,8.7,7.4,7.758571429,,,,,,,,,,,
1965,8.53,8.665714286,7.27,7.697142857,,,,,,,,,,,
1966,8.6,8.647142857,7.2,7.554285714,,,,,,,,,,,
1967,8.7,8.664285714,7.43,7.512857143,,,,,,,,,,,
1968,8.52,8.624285714,7.57,7.417142857,,,,,,,,,,,
1969,8.6,8.602857143,6.33,7.24,,,,,,,,,,,
1970,8.7,8.58,7.17,7.195714286,,,,,,,,,,,
1971,8.6,8.607142857,7.28,7.178571429,,,,,,,,,,,                            
1972,8.5,8.602857143,7.39,7.195714286,,,,,,,,,,,
1973,8.95,8.652857143,7.91,7.297142857,,,,,,,,,,,
1974,8.47,8.62,7.22,7.267142857,,,,,,,,,,,
1975,8.74,8.651428571,8.31,7.372857143,,,,,,,,,,,
1976,8.35,8.615714286,7.01,7.47,,,,,,,,,,,
1977,8.85,8.637142857,7.59,7.53,,,,,,,,,,,
1978,8.69,8.65,7.69,7.588571429,,,,,,,,,,,
1979,8.73,8.682857143,7.87,7.657142857,,,,,,,,,,                                     ,
1980,8.98,8.687142857,6.88,7.51,,,,,,,,,,,
1981,9.17,8.787142857,7.3,7.521428571,,,,,,,,,,,
1982,8.64,8.772857143,8.27,7.515714286,,,,,,,,,,,
1983,9.03,8.87,8.17,7.681428571,,,,,,,,,,,
1984,8.69,8.847142857,7.34,7.645714286,,,,,,,,,,,
1985,8.66,8.842857143,6.94,7.538571429,,,,,,,,,,,
1986,8.83,8.857142857,7.3,7.457142857,,,,,,,,,,,
1987,8.99,8.858571429,7.46,7.54,,,,,,,,,,,
1988,9.2,8.862857143,8.11,7.655714286,,,,,,,,,,,
1989,8.92,8.902857143,8.78,7.728571429,,,,,,,,,,,
1990,9.23,8.931428571,8.66,7.798571429,,,,,,,,,,,
1991,9.18,9.001428571,8.02,7.895714286,,,,,,,,,,,
1992,8.84,9.027142857,8.16,8.07,,,,,,,,,,,
1993,8.87,9.032857143,7.92,8.158571429,,,,,,,,,,,
1994,9.04,9.04,8.74,8.341428571,,,,,,,,,,,
1995,9.35,9.061428571,8.25,8.361428571,,,,,,,,,,,
1996,9.04,9.078571429,7.91,8.237142857,,,,,,,,,,,
1997,9.2,9.074285714,8.48,8.211428571,,,,,,,,,,,
1998,9.52,9.122857143,9.18,8.377142857,,,,,,,,,,,
1999,9.29,9.187142857,8.67,8.45,,,,,,,,,,,
2000,9.2,9.234285714,7.91,8.448571429,,,,,,,,,,,
2001,9.41,9.287142857,7.97,8.338571429,,,,,,,,,,,
2002,9.57,9.318571429,8.64,8.394285714,,,,,,,,,,,
2003,9.53,9.388571429,8.62,8.495714286,,,,,,,,,,,
2004,9.32,9.405714286,8.91,8.557142857,,,,,,,,,,,
2005,9.7,9.431428571,7.75,8.352857143,,,,,,,,,,,
2006,9.53,9.465714286,8.52,8.331428571,,,,,,,,,,,
2007,9.73,9.541428571,9.19,8.514285714,,,,,,,,,,,
2008,9.43,9.544285714,8.82,8.635714286,,,,,,,,,,,
2009,9.51,9.535714286,8.27,8.582857143,,,,,,,,,,,
2010,9.7,9.56,7.59,8.435714286,,,,,,,,,,,
2011,9.52,9.588571429,8.04,8.311428571,,,,,,,,,,,
2012,9.51,9.561428571,7.54,8.281428571,,,,,,,,,,,
2013,9.61,9.572857143,9.3,8.392857143,,,,,,,,,,,
